snapshot_id,date_id,product_id,warehouse_id,stock_quantity,reserved_quantity,available_quantity,stock_value
1,3,1,1,262,41,221,222700.0
2,3,1,2,41,6,35,34850.0
3,3,1,3,38,1,37,32300.0
4,3,2,1,188,11,177,310200.0
5,3,2,2,33,4,29,54450.0
6,3,2,3,83,10,73,136950.0
7,3,3,1,135,25,110,41850.0
8,3,3,2,101,8,93,31310.0
9,3,3,3,112,19,93,34720.0
10,3,4,1,197,20,177,42355.0
11,3,4,2,66,8,58,14190.0
12,3,4,3,107,20,87,23005.0
13,3,5,1,254,41,213,251460.0
14,3,5,2,35,3,32,34650.0
15,3,5,3,108,20,88,106920.0
16,3,6,1,141,20,121,204450.0
17,3,6,2,63,7,56,91350.0
18,3,6,3,46,7,39,66700.0
19,3,7,1,98,8,90,37240.0
20,3,7,2,80,10,70,30400.0
21,3,7,3,88,14,74,33440.0
22,3,8,1,176,16,160,209440.0
23,3,8,2,39,2,37,46410.0
24,3,8,3,57,5,52,67830.0
25,3,9,1,186,24,162,159960.0
26,3,9,2,121,8,113,104060.0
27,3,9,3,111,11,100,95460.0
28,3,10,1,210,26,184,388500.0
29,3,10,2,115,6,109,212750.0
30,3,10,3,58,8,50,107300.0
31,3,11,1,111,16,95,30525.0
32,3,11,2,129,24,105,35475.0
33,3,11,3,127,20,107,34925.0
34,3,12,1,291,14,277,162960.0
35,3,12,2,33,2,31,18480.0
36,3,12,3,42,5,37,23520.0
37,3,13,1,87,14,73,18705.0
38,3,13,2,94,11,83,20210.0
39,3,13,3,137,9,128,29455.0
40,3,14,1,126,13,113,58590.0
41,3,14,2,119,17,102,55335.0
42,3,14,3,45,2,43,20925.0
43,3,15,1,63,3,60,11655.0
44,3,15,2,100,15,85,18500.0
45,3,15,3,17,1,16,3145.0
46,3,16,1,115,13,102,32200.0
47,3,16,2,56,8,48,15680.0
48,3,16,3,68,9,59,19040.0
49,3,17,1,267,19,248,117480.0
50,3,17,2,25,2,23,11000.0
51,3,17,3,68,8,60,29920.0
52,3,18,1,274,37,237,104120.0
53,3,18,2,114,6,108,43320.0
54,3,18,3,131,16,115,49780.0
55,3,19,1,225,28,197,56250.0
56,3,19,2,42,5,37,10500.0
57,3,19,3,126,7,119,31500.0
58,3,20,1,187,27,160,36465.0
59,3,20,2,102,14,88,19890.0
60,3,20,3,29,5,24,5655.0
61,3,21,1,132,18,114,24420.0
62,3,21,2,29,1,28,5365.0
63,3,21,3,47,4,43,8695.0
64,3,22,1,185,36,149,30525.0
65,3,22,2,119,15,104,19635.0
66,3,22,3,88,11,77,14520.0
67,3,23,1,266,37,229,25270.0
68,3,23,2,114,21,93,10830.0
69,3,23,3,96,12,84,9120.0
70,3,24,1,72,8,64,11160.0
71,3,24,2,80,10,70,12400.0
72,3,24,3,58,9,49,8990.0
73,3,25,1,99,16,83,10890.0
74,3,25,2,40,3,37,4400.0
