order_id,date_id,customer_id,store_id,order_value,item_count,delivery_time_days,order_status_flag
ORD-20220101-59117,1,48574,,899.0,1,3,0
ORD-20220101-23064,1,23063,,3048.0,2,5,0
ORD-20220101-33417,1,41002,,2796.0,3,7,0
ORD-20220101-92563,1,7458,,809.1,1,3,0
ORD-20220101-45330,1,12451,,1297.0,2,3,0
ORD-20220101-54417,1,8682,,1599.0,1,1,0
ORD-20220101-18622,1,34910,,129.0,1,4,0
ORD-20220101-10722,1,38022,24,1978.0,2,0,0
ORD-20220101-82602,1,3965,9,5670.1,5,0,0
ORD-20220101-86090,1,16488,,1799.0,1,10,0
ORD-20220101-88636,1,31344,28,1619.1,1,0,0
ORD-20220101-59640,1,4201,19,599.0,1,0,0
ORD-20220101-73041,1,45778,,599.0,1,2,0
ORD-20220101-43853,1,6253,13,2198.0,1,0,0
ORD-20220101-36028,1,28902,,699.0,1,4,0
ORD-20220101-56833,1,47320,,449.0,1,3,0
ORD-20220101-83820,1,9025,,6263.15,5,3,0
ORD-20220101-90362,1,9477,,5497.2,2,4,0
ORD-20220101-29464,1,23566,,1997.0,2,3,0
ORD-20220101-75640,1,8538,,2896.1,4,3,2
ORD-20220101-17022,1,31257,,2453.55,4,5,0
ORD-20220101-37347,1,24297,23,1507.0,3,0,0
ORD-20220101-90018,1,34909,,4225.0,4,2,0
ORD-20220101-15772,1,38209,,1697.0,2,5,1
ORD-20220101-10166,1,9107,,2698.0,1,3,0
ORD-20220101-18418,1,26182,,628.0,2,10,0
ORD-20220101-87470,1,42182,,2326.0,4,5,0
ORD-20220101-96431,1,15027,20,3621.15,3,0,0
ORD-20220101-82871,1,6610,,2947.0,2,3,0
ORD-20220101-82507,1,41033,,218.0,2,2,0
ORD-20220101-65013,1,27718,10,2398.0,2,0,0
ORD-20220101-25156,1,7711,,447.0,1,3,0
ORD-20220101-34423,1,9926,15,899.0,1,0,0
ORD-20220101-51457,1,13624,5,1799.0,1,0,0
ORD-20220101-97495,1,4194,,1398.0,2,4,0
ORD-20220101-93153,1,36583,,2476.05,4,4,0
ORD-20220101-14176,1,44219,,1799.0,1,5,0
ORD-20220101-79072,1,40598,10,1709.05,1,0,0
ORD-20220101-20463,1,39833,,179.0,1,5,0
ORD-20220101-99893,1,30099,3,2897.0,2,0,0
ORD-20220101-80907,1,25121,,7623.2,4,4,0
ORD-20220101-50017,1,37286,,1178.0,2,3,0
ORD-20220101-28938,1,48163,,819.0,1,3,0
ORD-20220101-72237,1,46605,,218.0,1,4,0
ORD-20220101-70727,1,31210,24,849.0,1,0,0
ORD-20220101-14436,1,19584,20,528.0,2,0,0
ORD-20220101-82825,1,14394,,2528.0,2,4,0
ORD-20220101-44011,1,6963,24,1329.0,1,0,0
ORD-20220101-10214,1,21461,,1518.1,2,4,0
ORD-20220101-71055,1,46234,,999.0,1,1,0
ORD-20220101-47612,1,34174,,448.2,1,2,2
ORD-20220101-19480,1,45083,,3654.05,2,4,0
ORD-20220101-15049,1,24438,25,1418.0,2,0,0
ORD-20220101-48086,1,13191,,899.0,1,3,0
ORD-20220101-28656,1,36581,,968.75,4,7,0
ORD-20220101-44710,1,35168,,7600.55,2,4,0
ORD-20220101-45229,1,29967,,4897.0,3,4,0
ORD-20220101-48525,1,42380,16,2438.0,1,0,0
ORD-20220101-13619,1,12541,,1078.0,2,4,0
ORD-20220101-84668,1,33790,,628.2,2,2,0
ORD-20220101-38993,1,32326,27,699.0,1,0,0
ORD-20220101-42333,1,41372,,2085.0,4,3,0
ORD-20220101-78858,1,16808,14,299.0,1,0,0
ORD-20220101-98618,1,12901,,4396.2,3,7,0
ORD-20220101-85046,1,25872,7,4397.0,3,0,0
ORD-20220101-57857,1,40153,,2316.1,1,3,0
ORD-20220101-73710,1,17453,1,399.0,1,0,0
