return_id,date_id,product_id,customer_id,order_id,return_quantity,refund_amount,return_rate_flag,return_reason
1,20,41,8538,ORD-20220101-75640,1,549.0,1,defective_product
2,21,89,34174,ORD-20220101-47612,2,448.2,1,delivery_issue
3,15,20,41436,ORD-20220101-18202,2,698.0,1,delivery_issue
4,19,65,20977,ORD-20220101-31390,1,1519.05,1,delivery_issue
5,13,71,26822,ORD-20220101-87768,1,75.05,1,wrong_item
6,5,10,7471,ORD-20220101-54669,1,2799.0,1,changed_mind
7,19,1,35896,ORD-20220101-80561,1,1299.0,1,wrong_item
8,7,29,44104,ORD-20220101-21156,1,949.05,1,changed_mind
9,4,78,17647,ORD-20220101-88407,1,1349.0,1,changed_mind
10,7,72,45461,ORD-20220101-50106,1,109.65,1,defective_product
11,19,51,15373,ORD-20220102-83261,1,569.05,1,delivery_issue
12,18,73,7760,ORD-20220102-29924,1,109.0,1,delivery_issue
13,10,66,23229,ORD-20220102-74908,1,899.0,1,defective_product
14,10,66,43084,ORD-20220102-72852,1,899.0,1,wrong_item
15,10,25,24528,ORD-20220102-90915,1,199.0,1,not_as_described
16,10,23,24221,ORD-20220102-86883,1,170.05,1,wrong_item
17,23,59,24584,ORD-20220102-69659,1,1799.0,1,changed_mind
18,11,8,13722,ORD-20220103-44883,1,1799.0,1,changed_mind
19,30,39,28726,ORD-20220103-10550,1,1399.0,1,not_as_described
20,11,71,21838,ORD-20220103-17882,1,71.1,1,changed_mind
21,29,79,27895,ORD-20220103-31305,1,899.0,1,defective_product
22,17,78,44151,ORD-20220103-69889,1,1281.55,1,delivery_issue
23,16,76,39229,ORD-20220103-22553,1,1329.0,1,compatibility_issue
24,25,78,18872,ORD-20220103-97374,1,1214.1,1,compatibility_issue
25,11,72,30829,ORD-20220103-91436,1,129.0,1,defective_product
26,27,80,37701,ORD-20220103-11037,1,1099.0,1,defective_product
27,18,7,23791,ORD-20220103-16025,1,599.0,1,changed_mind
28,15,96,32680,ORD-20220103-82320,1,199.0,1,changed_mind
29,28,85,18691,ORD-20220103-24561,1,449.0,1,defective_product
30,26,22,29827,ORD-20220103-21634,1,284.05,1,defective_product
31,11,64,5197,ORD-20220104-17536,1,699.0,1,changed_mind
32,29,67,39581,ORD-20220104-13048,1,999.0,1,compatibility_issue
33,19,81,6721,ORD-20220104-96644,1,799.0,1,compatibility_issue
34,30,55,17569,ORD-20220104-81729,1,1499.0,1,changed_mind
35,11,65,41198,ORD-20220104-32492,1,1599.0,1,not_as_described
36,31,20,16103,ORD-20220104-33978,1,349.0,1,delivery_issue
37,25,85,34394,ORD-20220104-11611,1,449.0,1,changed_mind
38,31,13,34976,ORD-20220104-62787,2,663.1,1,changed_mind
39,12,94,12985,ORD-20220104-14525,1,99.0,1,defective_product
40,20,78,16351,ORD-20220105-26724,1,1349.0,1,wrong_item
41,23,91,4267,ORD-20220105-61525,1,737.1,1,delivery_issue
42,20,71,15291,ORD-20220105-10951,1,79.0,1,changed_mind
43,29,41,38431,ORD-20220105-52394,1,521.55,1,compatibility_issue
44,29,26,33827,ORD-20220105-16813,1,179.0,1,delivery_issue
45,33,80,32867,ORD-20220106-74632,1,1099.0,1,delivery_issue
46,34,80,570,ORD-20220106-29491,1,989.1,1,delivery_issue
47,24,16,42732,ORD-20220106-58365,1,449.0,1,defective_product
48,10,94,47619,ORD-20220107-32294,2,198.0,1,defective_product
49,23,70,5283,ORD-20220107-80807,1,129.0,1,changed_mind
50,12,79,35707,ORD-20220107-11268,1,899.0,1,delivery_issue
