ticket_id,date_id,customer_id,store_id,resolution_time_hours,ticket_count,escalation_flag,issue_type,status
1,12,16488,,2,1,0,return_request,resolved
2,15,8538,,8,1,0,return_request,resolved
3,8,6610,,24,1,0,return_request,resolved
4,9,34174,,4,1,0,return_request,resolved
5,3,41436,,120,1,1,return_request,resolved
6,11,20977,,48,1,0,return_request,resolved
7,1,26822,,8,1,0,return_request,resolved
8,5,43352,,48,1,0,delivery_problem,resolved
9,11,7471,,2,1,0,return_request,in_progress
10,6,34529,9,24,1,0,warranty_claim,resolved
11,7,35896,,48,1,0,return_request,resolved
12,10,44104,,8,1,0,return_request,resolved
13,2,17647,,4,1,0,return_request,resolved
14,6,45461,,48,1,0,return_request,resolved
15,5,42808,4,24,1,0,return_request,resolved
16,4,25950,3,24,1,0,technical_issue,resolved
17,2,15373,,4,1,0,return_request,resolved
18,14,6100,23,8,1,0,return_request,resolved
19,12,13848,,72,1,1,warranty_claim,resolved
20,4,7760,,8,1,0,return_request,resolved
21,10,23229,,24,1,0,return_request,pending
22,15,13770,26,120,1,1,warranty_claim,resolved
23,12,1393,,24,1,0,product_inquiry,resolved
24,10,27126,23,24,1,0,billing_issue,in_progress
25,9,48046,,8,1,0,technical_issue,resolved
26,8,43084,,4,1,0,return_request,in_progress
27,7,24528,,24,1,0,return_request,in_progress
28,15,31575,5,4,1,0,technical_issue,in_progress
29,8,3914,,8,1,0,return_request,resolved
30,7,24221,,72,1,1,return_request,resolved
31,15,24584,,72,1,1,return_request,resolved
32,15,11542,,72,1,1,technical_issue,resolved
33,16,32890,,4,1,0,technical_issue,in_progress
34,8,19665,,8,1,0,return_request,resolved
35,16,40011,10,24,1,0,technical_issue,pending
36,9,13722,,72,1,1,return_request,resolved
37,14,28726,,48,1,0,return_request,resolved
38,13,21838,,8,1,0,return_request,resolved
39,16,27895,,4,1,0,return_request,resolved
40,15,26370,,24,1,0,delivery_problem,resolved
41,3,28656,17,72,1,1,delivery_problem,resolved
42,14,44151,,48,1,0,return_request,resolved
43,13,39229,,8,1,0,return_request,resolved
44,11,32719,17,24,1,0,technical_issue,resolved
45,7,18872,,120,1,1,return_request,resolved
46,8,29377,19,48,1,0,billing_issue,resolved
47,14,17616,,48,1,0,technical_issue,resolved
48,15,37166,,24,1,0,technical_issue,resolved
49,3,30829,,4,1,0,return_request,resolved
50,17,37531,,4,1,0,delivery_problem,resolved
51,17,37701,,4,1,0,return_request,resolved
52,5,23791,,24,1,0,return_request,resolved
53,5,32680,,2,1,0,return_request,resolved
54,15,18691,,120,1,1,return_request,resolved
55,9,29827,,2,1,0,return_request,in_progress
56,12,5197,,24,1,0,return_request,resolved
57,18,39581,,48,1,0,return_request,resolved
58,16,6721,,24,1,0,return_request,resolved
59,9,17569,,24,1,0,return_request,resolved
60,6,41198,,24,1,0,return_request,pending
61,7,25194,1,72,1,1,delivery_problem,resolved
62,14,4026,6,2,1,0,product_inquiry,resolved
63,9,16103,,24,1,0,return_request,resolved
64,15,20869,4,120,1,1,return_request,resolved
65,6,395,,72,1,1,technical_issue,resolved
66,13,24624,,72,1,1,return_request,resolved
67,17,23920,,120,1,1,technical_issue,resolved
68,11,23936,,2,1,0,billing_issue,resolved
69,13,19128,4,24,1,0,warranty_claim,pending
70,13,34394,,120,1,1,return_request,resolved
71,14,42474,,8,1,0,billing_issue,pending
72,13,29735,,120,1,1,delivery_problem,resolved
73,8,35782,12,4,1,0,product_inquiry,resolved
74,17,27790,,168,1,1,delivery_problem,resolved
75,13,34976,,4,1,0,return_request,resolved
76,11,12985,,48,1,0,return_request,pending
77,10,43487,8,8,1,0,billing_issue,in_progress
78,14,16351,,24,1,0,return_request,resolved
79,13,4267,,72,1,1,return_request,resolved
80,15,14005,2,8,1,0,delivery_problem,resolved
81,8,15291,,24,1,0,return_request,in_progress
82,9,38431,,48,1,0,return_request,resolved
83,12,44282,,2,1,0,return_request,in_progress
84,12,32841,1,8,1,0,technical_issue,resolved
85,5,11778,,4,1,0,return_request,resolved
86,9,33827,,24,1,0,return_request,resolved
87,17,13561,11,48,1,0,technical_issue,resolved
88,7,42693,,8,1,0,return_request,in_progress
89,16,47591,12,8,1,0,delivery_problem,resolved
90,17,32867,,2,1,0,return_request,resolved
91,18,32573,1,120,1,1,delivery_problem,pending
92,18,570,,4,1,0,return_request,resolved
93,8,42732,,24,1,0,return_request,resolved
94,6,38147,,72,1,1,return_request,pending
95,18,37159,,8,1,0,return_request,resolved
96,11,20416,,48,1,0,delivery_problem,resolved
97,9,32975,,24,1,0,warranty_claim,resolved
98,7,2019,,8,1,0,technical_issue,in_progress
99,14,1728,23,4,1,0,billing_issue,resolved
100,15,47619,,48,1,0,return_request,resolved
101,21,17590,,8,1,0,billing_issue,resolved
102,7,5283,,24,1,0,return_request,resolved
103,14,27656,,8,1,0,warranty_claim,pending
104,17,35707,,24,1,0,return_request,resolved
105,14,12769,,48,1,0,return_request,resolved
106,17,36175,,72,1,1,return_request,resolved
107,11,41659,6,8,1,0,billing_issue,resolved
108,20,8437,,24,1,0,return_request,resolved
109,18,22769,,24,1,0,return_request,resolved
110,15,31791,,48,1,0,return_request,resolved
