date_id,full_date,day,week,month,quarter,year,day_of_week,is_weekend
1,2022-01-01,1,52,1,1,2022,5,1
2,2022-01-02,2,52,1,1,2022,6,1
3,2022-01-03,3,1,1,1,2022,0,0
4,2022-01-04,4,1,1,1,2022,1,0
5,2022-01-05,5,1,1,1,2022,2,0
6,2022-01-06,6,1,1,1,2022,3,0
7,2022-01-07,7,1,1,1,2022,4,0
8,2022-01-08,8,1,1,1,2022,5,1
9,2022-01-09,9,1,1,1,2022,6,1
10,2022-01-10,10,2,1,1,2022,0,0
11,2022-01-11,11,2,1,1,2022,1,0
12,2022-01-12,12,2,1,1,2022,2,0
13,2022-01-13,13,2,1,1,2022,3,0
14,2022-01-14,14,2,1,1,2022,4,0
15,2022-01-15,15,2,1,1,2022,5,1
16,2022-01-16,16,2,1,1,2022,6,1
17,2022-01-17,17,3,1,1,2022,0,0
18,2022-01-18,18,3,1,1,2022,1,0
19,2022-01-19,19,3,1,1,2022,2,0
20,2022-01-20,20,3,1,1,2022,3,0
21,2022-01-21,21,3,1,1,2022,4,0
22,2022-01-22,22,3,1,1,2022,5,1
23,2022-01-23,23,3,1,1,2022,6,1
24,2022-01-24,24,4,1,1,2022,0,0
25,2022-01-25,25,4,1,1,2022,1,0
26,2022-01-26,26,4,1,1,2022,2,0
27,2022-01-27,27,4,1,1,2022,3,0
28,2022-01-28,28,4,1,1,2022,4,0
29,2022-01-29,29,4,1,1,2022,5,1
30,2022-01-30,30,4,1,1,2022,6,1
31,2022-01-31,31,5,1,1,2022,0,0
32,2022-02-01,1,5,2,1,2022,1,0
33,2022-02-02,2,5,2,1,2022,2,0
34,2022-02-03,3,5,2,1,2022,3,0
35,2022-02-04,4,5,2,1,2022,4,0
36,2022-02-05,5,5,2,1,2022,5,1
37,2022-02-06,6,5,2,1,2022,6,1
38,2022-02-07,7,6,2,1,2022,0,0
39,2022-02-08,8,6,2,1,2022,1,0
40,2022-02-09,9,6,2,1,2022,2,0
41,2022-02-10,10,6,2,1,2022,3,0
42,2022-02-11,11,6,2,1,2022,4,0
43,2022-02-12,12,6,2,1,2022,5,1
44,2022-02-13,13,6,2,1,2022,6,1
45,2022-02-14,14,7,2,1,2022,0,0
46,2022-02-15,15,7,2,1,2022,1,0
47,2022-02-16,16,7,2,1,2022,2,0
48,2022-02-17,17,7,2,1,2022,3,0
49,2022-02-18,18,7,2,1,2022,4,0
50,2022-02-19,19,7,2,1,2022,5,1
51,2022-02-20,20,7,2,1,2022,6,1
52,2022-02-21,21,8,2,1,2022,0,0
53,2022-02-22,22,8,2,1,2022,1,0
54,2022-02-23,23,8,2,1,2022,2,0
55,2022-02-24,24,8,2,1,2022,3,0
56,2022-02-25,25,8,2,1,2022,4,0
57,2022-02-26,26,8,2,1,2022,5,1
58,2022-02-27,27,8,2,1,2022,6,1
59,2022-02-28,28,9,2,1,2022,0,0
60,2022-03-01,1,9,3,1,2022,1,0
61,2022-03-02,2,9,3,1,2022,2,0
62,2022-03-03,3,9,3,1,2022,3,0
63,2022-03-04,4,9,3,1,2022,4,0
64,2022-03-05,5,9,3,1,2022,5,1
65,2022-03-06,6,9,3,1,2022,6,1
66,2022-03-07,7,10,3,1,2022,0,0
67,2022-03-08,8,10,3,1,2022,1,0
68,2022-03-09,9,10,3,1,2022,2,0
69,2022-03-10,10,10,3,1,2022,3,0
70,2022-03-11,11,10,3,1,2022,4,0
71,2022-03-12,12,10,3,1,2022,5,1
72,2022-03-13,13,10,3,1,2022,6,1
73,2022-03-14,14,11,3,1,2022,0,0
74,2022-03-15,15,11,3,1,2022,1,0
75,2022-03-16,16,11,3,1,2022,2,0
76,2022-03-17,17,11,3,1,2022,3,0
77,2022-03-18,18,11,3,1,2022,4,0
78,2022-03-19,19,11,3,1,2022,5,1
79,2022-03-20,20,11,3,1,2022,6,1
80,2022-03-21,21,12,3,1,2022,0,0
81,2022-03-22,22,12,3,1,2022,1,0
82,2022-03-23,23,12,3,1,2022,2,0
83,2022-03-24,24,12,3,1,2022,3,0
84,2022-03-25,25,12,3,1,2022,4,0
85,2022-03-26,26,12,3,1,2022,5,1
86,2022-03-27,27,12,3,1,2022,6,1
87,2022-03-28,28,13,3,1,2022,0,0
88,2022-03-29,29,13,3,1,2022,1,0
89,2022-03-30,30,13,3,1,2022,2,0
90,2022-03-31,31,13,3,1,2022,3,0
91,2022-04-01,1,13,4,2,2022,4,0
92,2022-04-02,2,13,4,2,2022,5,1
93,2022-04-03,3,13,4,2,2022,6,1
94,2022-04-04,4,14,4,2,2022,0,0
95,2022-04-05,5,14,4,2,2022,1,0
96,2022-04-06,6,14,4,2,2022,2,0
97,2022-04-07,7,14,4,2,2022,3,0
98,2022-04-08,8,14,4,2,2022,4,0
99,2022-04-09,9,14,4,2,2022,5,1
100,2022-04-10,10,14,4,2,2022,6,1
101,2022-04-11,11,15,4,2,2022,0,0
102,2022-04-12,12,15,4,2,2022,1,0
103,2022-04-13,13,15,4,2,2022,2,0
104,2022-04-14,14,15,4,2,2022,3,0
105,2022-04-15,15,15,4,2,2022,4,0
106,2022-04-16,16,15,4,2,2022,5,1
107,2022-04-17,17,15,4,2,2022,6,1
108,2022-04-18,18,16,4,2,2022,0,0
109,2022-04-19,19,16,4,2,2022,1,0
110,2022-04-20,20,16,4,2,2022,2,0
111,2022-04-21,21,16,4,2,2022,3,0
112,2022-04-22,22,16,4,2,2022,4,0
113,2022-04-23,23,16,4,2,2022,5,1
114,2022-04-24,24,16,4,2,2022,6,1
115,2022-04-25,25,17,4,2,2022,0,0
116,2022-04-26,26,17,4,2,2022,1,0
117,2022-04-27,27,17,4,2,2022,2,0
118,2022-04-28,28,17,4,2,2022,3,0
119,2022-04-29,29,17,4,2,2022,4,0
120,2022-04-30,30,17,4,2,2022,5,1
121,2022-05-01,1,17,5,2,2022,6,1
122,2022-05-02,2,18,5,2,2022,0,0
