product_id,product_name,brand,category,subcategory,price,cost,lifecycle_status
1,Samsung QLED QE55Q80C,Samsung,TV & Displays,QLED TV,1299.0,850.0,active
2,"Samsung OLED S95C 65""",Samsung,TV & Displays,OLED TV,2499.0,1650.0,discontinued
3,"Samsung Crystal UHD 50""",Samsung,TV & Displays,LED TV,499.0,310.0,active
4,"Samsung Crystal UHD 43""",Samsung,TV & Displays,LED TV,349.0,215.0,active
5,"LG OLED C3 55""",LG,TV & Displays,OLED TV,1499.0,990.0,active
6,"LG OLED C3 65""",LG,TV & Displays,OLED TV,2199.0,1450.0,active
7,"LG NanoCell 50""",LG,TV & Displays,LED TV,599.0,380.0,active
8,"Sony Bravia XR A80L 55""",Sony,TV & Displays,OLED TV,1799.0,1190.0,active
9,"Sony Bravia X90L 65""",Sony,TV & Displays,LED TV,1299.0,860.0,active
10,"Philips OLED+908 65""",Philips,TV & Displays,OLED TV,2799.0,1850.0,discontinued
11,"Philips PUS8518 50""",Philips,TV & Displays,LED TV,449.0,275.0,active
12,"Hisense U8K 65""",Hisense,TV & Displays,QLED TV,899.0,560.0,active
13,"Hisense A6K 43""",Hisense,TV & Displays,LED TV,349.0,215.0,discontinued
14,"TCL C845 55""",TCL,TV & Displays,QLED TV,749.0,465.0,active
15,"TCL S5400A 40""",TCL,TV & Displays,LED TV,299.0,185.0,active
16,"Samsung Odyssey G7 27""",Samsung,TV & Displays,Monitor,449.0,280.0,active
17,LG UltraGear 27GR95QE,LG,TV & Displays,Monitor,699.0,440.0,active
18,Dell UltraSharp U2723QE,Dell,TV & Displays,Monitor,599.0,380.0,active
19,BenQ EW2880U,BenQ,TV & Displays,Monitor,399.0,250.0,active
20,Sony WH-1000XM5,Sony,Audio & Home Entertainment,Headphones,349.0,195.0,discontinued
21,Bose QuietComfort 45,Bose,Audio & Home Entertainment,Headphones,329.0,185.0,active
22,Sennheiser Momentum 4,Sennheiser,Audio & Home Entertainment,Headphones,299.0,165.0,active
23,Audio-Technica ATH-M50xBT2,Audio-Technica,Audio & Home Entertainment,Headphones,179.0,95.0,active
24,Apple AirPods Pro 2,Apple,Audio & Home Entertainment,Earbuds,279.0,155.0,active
25,Samsung Galaxy Buds2 Pro,Samsung,Audio & Home Entertainment,Earbuds,199.0,110.0,active
26,JBL Charge 5,JBL,Audio & Home Entertainment,Speaker,179.0,95.0,active
27,Bose SoundLink Flex,Bose,Audio & Home Entertainment,Speaker,149.0,82.0,active
28,Sonos Era 100,Sonos,Audio & Home Entertainment,Speaker,249.0,140.0,active
29,Sonos Arc,Sonos,Audio & Home Entertainment,Soundbar,999.0,600.0,active
